sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
C31-C17d-C31.1-C31a-C21-C31f-C21ac-C31l,179488,0.042879056723883306,-0.01967686793293839,0.0019777030130483397,0.00635876508060214,-0.0016951303272554675,-0.006165692684229297,0.00043177153912892657,-0.0005578112537770972,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C17f-C31.9,179267,0.00341475884359745,0.015857999766049485,0.004696278375118504,-0.002002709683177431,-0.0051962032770834134,-0.005651762214224397,0.002234460345879681,-0.0005025005645892377,0.0,0.0,0.0,0.0,0.0
C15/C31-C17d,179750,-0.07041259273598716,-0.01304601486721808,0.015440402565742568,-0.00691335787568844,-0.0019409568057424114,0.0011077000504493696,0.0007174592161473529,-0.00019456844788211955,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31k-C21ac-C17e,179274,0.007878035296396925,0.00854547840914319,-0.004211993938450626,-0.015064700515366632,-6.350321812543219e-05,-0.0012553295451864263,-0.003037721378989184,-0.00020815325979386292,0.0,0.0,0.0,0.0,0.0
C17d/C31-C21-C17e-C21ac-C17f,178571,-0.0017766174262827574,0.01711387901411681,-0.019910408143688725,0.004407033555844701,0.0007225770852124921,-0.0019851864483504357,-0.0019420531371937787,-0.00040742339646037095,0.0,0.0,0.0,0.0,0.0
C31/C17d-C31.1-C21-C31a-C17e-C21ac-C31.10,179711,0.029468848925133215,-0.007429712965296729,-0.0034821582711325226,-8.314326092581503e-06,0.002797238624395483,0.004850857882169922,-0.001482000216880489,0.00041039566190459036,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31a-C21ac-C31.9,179186,0.018282938171126417,0.003622486720626426,0.008071378666246081,0.003932766675062443,-0.0011858153987263252,-0.0014897150101094107,-0.0036463678114881633,0.0024524629327623945,0.0,0.0,0.0,0.0,0.0
C17d/C31-C21-C21ac-C17e-C17f-C31.9,179282,0.004192657844936357,0.018214361624131616,-0.008576011482746206,-0.0012080717163358054,-0.0009363891381902799,0.0031391985201453853,0.004997272686670812,0.0010409766345168554,0.0,0.0,0.0,0.0,0.0
C31/C17d/C21-C31.9-C31.5-C21ac-C31a-C17f,179284,0.025576614748371414,0.014044004307836741,0.012194005167791155,0.006614936105785104,-0.005389891298347966,0.005897761874343735,-0.0010357979725783167,-0.0008953060215959925,0.0,0.0,0.0,0.0,0.0
C31-C17d-C31.1-C31a-C21-C17e-C31f-C31l,179483,0.05025544255167644,-0.028443485924517335,-0.00890402104216965,-0.001989797696921421,-0.0014682462498095644,0.001134489235825887,0.0018943531366625958,0.0013458630756964488,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31.9-C21ac-C31i-C31h,179196,0.02261546562279066,0.009868772776073462,0.012903006070183638,0.0011456997109231797,0.011596713441742713,-0.0015787855342524373,0.0015135237535485397,4.3859603546307185e-06,0.0,0.0,0.0,0.0,0.0
C31/C17d-C31.1-C21-C31a-C31f-C21ac-C17e,179487,0.03528629631676413,-0.011692314749986228,-0.004389700825258259,2.3995189357180282e-05,0.001531314229355923,0.001979517760127265,-0.0003785249561189031,-0.0025153229063791882,0.0,0.0,0.0,0.0,0.0
C3/C15,178820,-0.16766090488240623,-0.0069785861780210035,-0.005808480154684268,0.004703755496007591,0.0012282923325741511,1.6946113291015034e-05,-0.00026637520478895284,2.700158524310629e-05,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.8912601905645576,0.062043845310420544,0.027661177122771677,0.009243748063397656,0.0046321681059058725,0.003353335518473536,0.0014368582402904003,0.00036867707418282355,0.0,0.0,0.0,0.0,0.0
